host,rtt,port,server_name,synStart,synEnd,scanEnd,protocol,cipher,resultString,verify_err_no,verify_code,server_version,depth,depth_verbose,error_data
76.76.2.154,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.128,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
87.106.127.158,,443,dns.die-amends.de,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.159,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.180,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.151,,443,dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.149,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.144,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.11,,443,p0.freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.150,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.156,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.177,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.152,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.141,,443,freedns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
162.14.21.178,,443,dns.pub,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_256_GCM_SHA384,SUCCESS,,,,,,
76.76.2.164,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.184,,443,premium.dns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.125,,443,premium.dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.197,,443,freedns.controld.com,1647539966,1647539966,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
76.76.2.175,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
20.97.99.47,,443,dns.familiamichels.com.br,1647539957,1647539957,,TLS_NULL_WITH_NULL_NULL,TLS_NULL_WITH_NULL_NULL,TIMEOUT,,,,,,dial tcp <nil>->20.97.99.47:443: i/o timeout
76.76.2.145,,443,dns.controld.com,1647539965,1647539965,1647539966,TLSv1.3,TLS_AES_128_GCM_SHA256,SUCCESS,,,,,,
